產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"數位雲端","2949","欣新網","112079","142","789","777","1.54%","680","703","-3.27%","3.34","841","2.11","N","Y","N","本公司依市場水準與員工績效表現，對在職人員進行薪資調升，故非主管職員工之平均薪資為成長。惟因調整人力結構，招募專責處理標準化作業之基層專員，致平均薪資低於同業。","針對此一結構性影響，本公司已提升新進人員之起薪標準，並將持續檢討與優化整體薪酬制度，以確保薪資結構之合理性與市場競爭力。",
"文化創意業","3064","泰偉","44267","53","835","754","10.74%","692","660","4.85%","0.05","1357","7.81","N","N","N","","",
"光電業","3066","李洲","20898","38","550","580","-5.17%","494","527","-6.26%","1.30","856","2.40","N","N","Y","113年符合申報範圍之非經理人全時員工人數計42人，期間不滿6個月之短期人員計25人(給薪期間不滿6個月之新進或離職人員)，因短期人員較多，致員工年薪中位數均值(中位數493,609元)下降。","截至113年累積虧損尚未弭平，待經營成果轉佳後再議。",
"其他電子業","3067","全域","7872","12","656","678","-3.24%","677","674","0.45%","-1.01","958","4.44","N","N","N","","",
"電腦及週邊設備業","3071","協禧","95932","140","685","712","-3.79%","610","623","-2.09%","0.81","909","4.39","N","N","N","","",
"綠能環保","3073","天方能源","13751","18","764","756","1.06%","655","762","-14.04%","0.75","826","3.76","N","N","N","","",
"電子零組件業","3078","僑威","166076","143","1161","1240","-6.37%","912","982","-7.13%","5.62","747","2.21","N","N","N","","",
"通信網路業","3081","聯亞","254780","293","870","793","9.71%","757","684","10.67%","-0.59","840","2.51","N","N","N","","",
"文化創意業","3083","網龍","160051","202","792","777","1.93%","661","647","2.16%","0.81","1357","7.81","N","N","N","","",
"數位雲端","3085","新零售","5165","10","517","638","-18.97%","556","635","-12.44%","-1.69","841","2.11","N","N","Y","本公司現有政策如下：
1.年終獎金按經營狀況發放(沒有固定月數)
2.員工酬勞按營運狀況提撥2%~15%
雖113年度所發放之年終獎金較112年提升，但因組織異動頻繁，資深員工離職，使得平均薪資減少","113年12月公司新制定政策如下：
1.每年年終獎金1個月、端午中秋各0.25個月
2.生日月分額外給予一天休假
預估本年度員工平均薪資會增加",
"文化創意業","3086","華義","40402","65","622","608","2.30%","537","542","-0.92%","0.67","1357","7.81","N","N","N","","",
"電腦及週邊設備業","3088","艾訊","686905","627","1096","1020","7.45%","960","895","7.26%","7.53","909","4.39","N","N","N","","",
"其他電子業","3093","港建*","130079","126","1032","1134","-8.99%","985","1041","-5.38%","1.06","958","4.44","N","N","N","","",
"通信網路業","3095","及成","85826","115","746","700","6.57%","646","653","-1.07%","0.84","840","2.51","N","N","N","","",
"半導體業","3105","穩懋","2902220","2866","1013","891","13.69%","845","771","9.60%","1.81","1307","5.21","N","N","N","","",
"電子零組件業","3114","好德","54816","57","962","1016","-5.32%","751","869","-13.58%","1.80","747","2.21","N","N","Y","113年度EPS較佳，主要係因營業外收入-外幣兌換利益較去年同期增加41,433仟元所致。","本公司為獎勵員工付出與鼓勵績效成果，重視且持續進行年度巿場環境評估及晉升調薪制度。",
"電子零組件業","3115","富榮綱","5437","8","680","702","-3.13%","525","530","-0.94%","-0.73","747","2.21","N","N","N","","",
"生技醫療業","3118","進階","111763","115","972","939","3.51%","812","770","5.45%","2.00","787","0.41","N","N","N","","",
"半導體業","3122","笙泉","67942","62","1096","1133","-3.27%","1004","1040","-3.46%","-1.44","1307","5.21","N","N","N","","",
"光電業","3128","昇銳","190974","291","656","647","1.39%","562","512","9.77%","1.69","856","2.40","N","N","N","","",
"其他電子業","3131","弘塑","319461","186","1718","1559","10.20%","1559","1504","3.66%","29.07","958","4.44","N","N","N","","",
"半導體業","3141","晶宏","178780","141","1268","1373","-7.65%","1204","1280","-5.94%","1.16","1307","5.21","N","N","Y","本公司因全球經濟波動及產品市場競爭影響，致營收較112年度下滑18.65%並使相關業績獎金減少，
全時員工薪資平均數亦隨之減少。113年度EPS較112年度成長2.65%，主係匯率變動影響，
致業外之兌換利益增加。","未來若本公司營收獲利成長，將依實際經營績效調整員工之薪資及獎金，以提升員工之獎酬福利。",
"資訊服務業","3147","大綜","254332","266","956","938","1.92%","666","660","0.91%","11.94","976","3.68","N","Y","N","大綜產業類別歸屬資訊服務業，以經營類別粗略再分成軟體資訊服務及硬體資訊服務。於營業毛利率及軟體工程師和硬體工程師薪資水平是明顯差異，統計是依同業平均數相較，故產生如此之落差。","大綜一直在努力中,歷年來非經理人之全時員工薪資平均數已逐年成長,公司致力使公司獲利繼續成長,使非經理人之全時員工薪資平均數早日追上同業水準",
