產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數調整變動情形(%),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"塑膠工業","1325","恆大","56431","109","518","509","1.77%","462","457","1.09%","-0.70","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1235","-0.80","N","Y","N","本公司不織布產品屬塑膠下游產業，因行業生產性質、員工人數及用人結構等，
與上游及中游之塑膠同業有非常大之差異，本公司因基層員工之比例佔比較高，
故員工薪資平均數較塑膠同業公司資訊平均數為低。","因疫情後不織布市場供過於求，競爭激烈，致使公司營收衰退，114年度每股虧
損新台幣0.70元，故員工酬勞為0元，公司目前正加強產品開發，以期改善營
運狀況，未來若公司恢復獲利時，公司會提升員工薪酬。",
"塑膠工業","1326","台化","5574176","3828","1456","1408","3.41%","1317","1279","2.97%","-0.99","          1,508","不適用","-","            983","不適用","-","          1,352","不適用","-","            967","不適用","-","1235","-0.80","N","N","N","","",
"汽車工業","1339","昭輝","153607","255","602","659","-8.65%","508","508","0.00%","2.41","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","890","4.02","N","N","N","","",
"其他","1342","八貫","296856","429","692","683","1.32%","605","578","4.67%","5.62","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","922","2.61","N","Y","N","本公司所屬產業類別-同業中有服務業、製造業，員工人數不同，較難比較。公司114年新進員工有112人，佔平均人數429人之26%，非全年之員工人數增加，另114年進行調薪，114年的非主管職務員工薪資仍較113年增加。","隨員工平均年資增加，員工薪酬將依績效表現等…調整。",
"紡織纖維","1402","遠東新","3686696","3394","1086","1092","-0.55%","913","914","-0.11%","1.55","          1,068","不適用","-","          1,137","不適用","-","            905","不適用","-","            938","不適用","-","767","1.15","N","N","N","","",
"紡織纖維","1409","新纖","1127466","1599","705","717","-1.67%","662","662","0.00%","1.19","            715","不適用","-","            652","不適用","-","            668","不適用","-","            599","不適用","-","767","1.15","N","Y","Y","主要獲利為子公司及業外收入，本業狀況則較為低迷，員工的獎金主是以本業營運狀況連動，因此影響該年度薪資水平","主要獲利為子公司及業外收入，本業狀況則較為低迷，員工的獎金主是以本業營運狀況連動，因此影響該年度薪資水平",
"紡織纖維","1410","南染","4457","8","557","547","1.83%","580","529","9.64%","0.58","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","767","1.15","N","N","N","","",
"紡織纖維","1413","宏洲","113885","166","686","662","3.63%","659","616","6.98%","0.45","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","767","1.15","N","N","N","","",
"紡織纖維","1414","東和","68196","128","533","509","4.72%","480","468","2.56%","0.19","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","767","1.15","N","N","N","","",
"其他","1416","廣豐","4744","5","949","917","3.49%","969","946","2.43%","0.81","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","922","2.61","N","N","N","","",
