產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"電機機械","1514","亞力","557795","621","898","825","775","725","2.15","815","3.25","N","N","N","",
"電機機械","1515","力山","457804","796","575","563","481","486","-1.65","815","3.25","N","N","N","",
"其他","1516","川飛","1944","3","648","521","666","694","1.36","893","2.87","N","N","N","",
"電機機械","1517","利奇","361469","735","492","534","444","502","2.55","815","3.25","Y","N","Y","本公司配合111年前3季營運成長需求，外籍員工人數增加；111第4季因應產業調整消化庫存，第4季產能需求降低，減少加班費用，致影響111年度員工薪資平均數及中位數較前一年度降低。",
"電機機械","1519","華城","708171","697","1016","826","816","708","3.21","815","3.25","N","N","N","",
"汽車工業","1521","大億","489933","774","633","613","577","565","1.17","815","-2.37","N","Y","N","本公司111年非擔任主管職務之全時員工「薪資平均數」與「薪資中位數」較110年度增加分別為3.26%與2.12%，薪資調整係參考整體就業市場、通膨率與公司成長性預估，本公司未來亦將注意同業狀況並依獲利情形調整。",
"汽車工業","1522","堤維西","904324","1472","614","575","568","525","2.91","815","-2.37","N","Y","N","因所聘用的外勞較多以基本工資起薪，因此對於整體員工平均薪資有降低的效果。",
"汽車工業","1524","耿鼎","234967","382","615","521","528","458","2.04","815","-2.37","N","Y","N","公司基層人力占比高，人力結構中直接員工數佔總人數之67.6%，其中外籍及建教生員工數約佔四成，影響整體薪資平均水準。111年持續調薪較110年平均薪資達4.3%，後續仍將依營運狀況及參考同業水平，合理提升薪資報酬。",
"汽車工業","1525","江申","187208","294","637","580","559","519","3.68","815","-2.37","N","Y","N","(1)111年度多家汽車主機廠受到轉投資產險公司支出高額防疫險理賠金，造成嚴重虧損，致本公司獲利表現較同業佳。
(2)非擔任主管職之全職員工人數計294人，其中移工人數71人，占24%，人員結構影響平均薪資水準。",
"電機機械","1526","日馳","112115","174","644","598","500","415","6.44","815","3.25","N","Y","N","外籍員工人數佔比高。",
"電機機械","1527","鑽全","414498","715","580","607","494","540","5.36","815","3.25","N","Y","Y","員工薪酬是依照本公司訂定薪資管理辦法發放，並於公司章程內訂有員工酬勞提撥方式；且其配發金額均需經過本公司薪資委員會審議才得發放。",
"電機機械","1528","恩德","123362","183","674","657","602","572","0.81","815","3.25","N","N","N","",
"電機機械","1529","樂事綠能","22406","41","546","525","505","480","0.31","815","3.25","N","N","N","",
"電機機械","1530","亞崴","268011","423","634","664","575","539","3.67","815","3.25","N","Y","Y","1.亞崴EPS大部分屬業外收入，若以業內獲利相比未必較高，且員工酬勞分配方式不同、結果亦會不同。
2.111年度受疫情衝擊，業內獲利不盡理想，致員工加班、獎金減少及資深高薪員工離職，拉&#24607;平均薪資。",
"電機機械","1531","高林股","127273","164","776","661","697","630","1.02","815","3.25","N","N","N","",
"電機機械","1532","勤美","210720","303","695","769","563","615","2.14","815","3.25","N","N","N","",
"汽車工業","1533","車王電","271563","478","568","596","462","510","0.40","815","-2.37","N","Y","N","(1).EPS較同業高，主要是因為業外收益。
(2).外籍移工直接人力佔比18%，員工薪資平均數相對不高。
(3).景氣持續衰退，延長工時加班費及獎金提撥減少。",
"電機機械","1535","中宇","1289348","1159","1112","1025","1010","935","4.21","815","3.25","N","N","N","",
"汽車工業","1536","和大","650794","1031","631","636","603","607","2.23","815","-2.37","N","Y","Y","新增較多基層員工(約占11%)，致平均年薪較前一年略低。",
"電機機械","1537","廣隆","90432","108","837","791","670","644","10.77","815","3.25","N","N","N","",
"電機機械","1538","正峰","27316","60","455","475","450","444","-0.88","815","3.25","Y","N","Y","111年相較110年，大於110年平均薪資1人低於有61人，故造成111年平均薪資未達50萬元，111年EPS增加主要人資成本降低、營業毛利提高、沒有資產減損以及有出售資產利益所致&#65377;",
"電機機械","1539","巨庭","77730","152","511","476","475","417","6.00","815","3.25","N","Y","N","主要係因外勞及馬達課現場員工佔本公司員工人數達三分之一其薪資較低且EPS6元有一半是外幣兌換利益及認列子公司投資利益所得，本業是傳統產業木工機製造EPS只有3元，無法與高利潤同業相比。",
"電機機械","1540","喬福","42261","73","579","542","555","512","1.27","815","3.25","N","N","N","",
"電機機械","1541","錩泰","190136","420","453","587","395","537","3.45","815","3.25","Y","Y","N","因111年持續受肺炎影響，客戶錯估需求及塞港的大量存貨釋出，客戶去化庫存減少下單、受停滯性通膨影響，降低消費者購買力，致銷售額下降35%，減少或停止生產激勵獎金的發放及年終獎金、員工酬勞的發放。",
"電機機械","1558","伸興","233788","279","838","886","784","831","8.08","815","3.25","N","N","N","",
