產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"生技醫療業","3176","基亞","32182","37","870","910","762","796","-4.03","749","0.13","N","N","Y","112年度非經理人離職員工較去年增加，致非經理人之全時員工薪資平均較前一年度減少。本公司雖未獲利，仍會依員工個人績效表現及對公司貢獻度並參考同業水準給予合理的薪資報酬。",
"半導體業","3178","公準","444280","754","589","605","512","529","4.52","1201","5.40","N","N","N","",
"建材營造","3188","鑫龍騰","16916","15","1128","875","910","707","2.05","955","2.42","N","N","N","",
"電子零組件業","3191","雲嘉南","2224","4","556","513","598","581","-0.55","703","1.58","N","N","N","",
"電子零組件業","3202","樺晟","59379","85","699","629","615","552","-0.58","703","1.58","N","N","N","",
"生技醫療業","3205","佰研","27609","44","627","601","561","546","-1.69","749","0.13","N","N","N","",
"電子零組件業","3206","志豐","58603","52","1127","1048","1058","1008","4.82","703","1.58","N","N","N","",
"電子零組件業","3207","耀勝","19413","23","844","949","850","832","1.75","703","1.58","N","N","N","",
"電腦及週邊設備業","3211","順達","252880","202","1252","1160","1168","1110","5.23","890","3.92","N","N","N","",
"電腦及週邊設備業","3213","茂訊","227521","271","840","737","734","649","7.85","890","3.92","N","Y","N","1.直接員工較111年度增加17%。
2.第一線的從業人員及門市業務人員占比高，致使平均薪資降低。",
"電子零組件業","3217","優群","112800","98","1151","1077","954","904","8.11","703","1.58","N","N","N","",
"生技醫療業","3218","大學光","294294","256","1150","1073","888","864","12.34","749","0.13","N","N","N","",
"其他電子業","3219","倚強科","107783","78","1382","1499","1136","1011","0.41","889","3.15","N","N","N","",
"通信網路業","3221","台嘉碩","216474","396","547","657","504","547","-0.13","831","1.93","N","N","N","",
"電子通路業","3224","三顧","62654","78","803","771","668","643","-1.94","783","-0.07","N","N","N","",
"電機機械","3226","至寶電","93943","187","502","496","419","437","4.04","695","2.14","N","Y","N","營運績效:
今年營收較前一年減少3.75%，業外部分因自動補報補繳營業稅額導致獲利減少。
薪資較低：
1.基層員工占比高(約佔六成)，產線未有輪班制度，故無相關津貼加給獎金。
2.因今年生產產量下降，加班費減少。",
"半導體業","3227","原相","1325094","530","2500","2522","2301","2321","5.57","1201","5.40","N","N","N","",
"半導體業","3228","金麗科","107409","67","1603","1742","1216","1344","-1.73","1201","5.40","N","N","N","",
"光電業","3230","錦明","25478","39","653","667","588","594","-2.50","853","2.19","N","N","N","",
"電子通路業","3232","昱捷","30091","41","734","748","629","641","0.25","783","-0.07","N","Y","N","本公司員工薪酬中的獎金部分，與公司經營績效之高低連動，當稅前淨利達相對門檻時，獎金的倍率會隨之提高。",
"通信網路業","3234","光環","226910","298","761","756","660","654","-4.68","831","1.93","N","N","N","",
"電子零組件業","3236","千如","125794","202","623","767","522","587","0.36","703","1.58","N","N","N","",
"觀光餐旅","3252","海灣","3356","8","420","400","420","420","0.01","600","1.78","Y","N","N","因公司目前處於轉型成長期間，薪資結構尚未調整。",
"半導體業","3259","鑫創","127150","106","1200","1064","1163","997","-4.34","1201","5.40","N","N","N","",
"半導體業","3260","威剛","844017","645","1309","1298","1086","1066","5.21","1201","5.40","N","N","N","",
"半導體業","3264","欣銓","1752468","1647","1064","1203","862","944","5.79","1201","5.40","N","Y","N","1.半導體業含IC設計、晶圓製造及封裝測試，員工結構差異致平均薪資不盡具可比較性；欣銓為測試公司，直接人力約佔四成，致平均薪資相對較低。
2.獲利與員工共享，每年調薪，持續優化薪酬福利。",
"半導體業","3265","台星科","315350","366","862","972","675","768","6.16","1201","5.40","N","Y","N","112年營收3667818相較111年營收3947152,減少7%. 
112年平均員工366相較111年平均員工335,增加9%.
故112年員工平均薪資862較111年員工平均薪資972, 減少11%.
本公司員工薪酬和公司經營績效實屬合理，無異常。",
"半導體業","3268","海德威","21254","33","644","740","621","658","-0.20","1201","5.40","N","N","N","",
"電腦及週邊設備業","3272","東碩","228160","334","683","752","595","607","-6.13","890","3.92","N","N","N","",
"電子零組件業","3276","宇環","2906","3","969","1026","1082","1029","0.79","703","1.58","N","N","N","",
"其他","3284","太普高","38033","67","568","547","546","513","0.76","677","1.82","N","N","N","",
"其他電子業","3285","微端","29595","44","673","625","591","544","0.66","889","3.15","N","N","N","",
"電腦及週邊設備業","3287","廣寰科","4633","7","662","722","589","499","0.92","890","3.92","N","N","Y","1.一名薪資較高的員工離職及非經理人員工多為基層人員所致
2.112年度經營績效係來自投資之股價上升,產生未實現利益之業外收入造成EPS成長與公司員工酬勞之水準並無絕對之關聯性",
"電子零組件業","3288","點晶","11112","13","855","841","484","439","0.14","703","1.58","N","N","N","",
"其他電子業","3289","宜特","1024463","978","1048","977","915","871","5.15","889","3.15","N","N","N","",
"電子零組件業","3290","東浦","48510","77","630","617","519","480","1.14","703","1.58","N","N","N","",
"文化創意業","3293","鈊象","2978714","1062","2805","2544","2176","2027","45.61","1181","5.68","N","N","N","",
"電子零組件業","3294","英濟","247811","306","810","779","669","626","-1.00","703","1.58","N","N","N","",
"光電業","3297","杭特","80206","137","585","588","483","489","-0.37","853","2.19","N","N","N","",
"其他電子業","3303","岱稜","313042","426","735","739","665","645","2.21","889","3.15","N","N","N","",
"通信網路業","3306","鼎天","121373","103","1178","987","1013","878","1.83","831","1.93","N","N","N","",
"電子零組件業","3310","佳穎","52754","82","643","627","556","525","3.81","703","1.58","N","Y","N","本公司因112年度有營建營收入帳，故每股盈餘比111年佳，但與同業屬性並不一致。
本公司平均薪資雖與同業有落差，但較去年有所成長。",
"其他","3313","斐成","1851","3","617","868","810","629","0.01","677","1.82","N","N","Y","EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少，主係業外收入認列金融資產之未實現評價利益所致，並無實質獲利，且與本業無關故未反映調整員工薪資。",
"半導體業","3317","尼克森","140563","120","1171","1515","971","1215","2.95","1201","5.40","N","N","N","",
"電子零組件業","3322","建舜電","56875","59","964","917","755","746","0.58","703","1.58","N","N","N","",
"電腦及週邊設備業","3323","加百裕","242164","319","759","738","624","526","-3.27","890","3.92","N","N","N","",
"其他電子業","3324","雙鴻","207466","180","1153","1220","1053","1071","14.28","889","3.15","N","N","N","",
"電腦及週邊設備業","3325","旭品","13138","24","547","549","507","516","-0.28","890","3.92","N","N","Y","本年度EPS較前一年度成長但仍有累積虧損，且本年度非經理人之全時員工薪資平均數與前一年度呈持平狀況，故尚屬合理。",
"電子零組件業","3332","幸康","207852","273","761","805","641","703","2.98","703","1.58","N","N","N","",
"光電業","3339","泰谷","75135","135","557","497","467","423","0.34","853","2.19","N","N","N","",
"電腦及週邊設備業","3349","寶德","32510","38","856","875","822","792","-2.37","890","3.92","N","N","N","",
"電子零組件業","3354","律勝","39869","61","654","581","530","486","-1.19","703","1.58","N","N","N","",
"電子零組件業","3357","臺慶科","325198","478","680","798","580","663","5.82","703","1.58","N","Y","N","112年度EPS高於同業主要來自子公司認列投資收益約4.2億，而本廠藍領外籍工人約佔全體員工三分之一，外籍工人依勞基法核給基本工資，致非經理人全時員工薪資平均數低於同業。",
"電子通路業","3360","尚立","53088","66","804","961","761","955","-1.47","783","-0.07","N","N","N","",
"光電業","3362","先進光","386773","671","576","575","519","513","2.83","853","2.19","N","Y","N","本公司在台灣包含全製程(射出、鍍膜及組裝)製造人數約占總人數80%，其他光學同業如新鉅科、玉晶光等公司其在台灣主要係以研發為主，低技術製程全都在海外廠，致本公司平均薪資低於其他光學同業。",
"通信網路業","3363","上詮","120689","186","649","601","544","469","0.13","831","1.93","N","N","N","",
"半導體業","3372","典範","213034","335","636","604","585","517","-1.02","1201","5.40","N","N","N","",
"其他電子業","3373","熱映","44213","61","725","851","652","768","-1.13","889","3.15","N","N","N","",
