產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"紡織纖維","1449","佳和","434939","750","580","527","10.06%","555","494","12.35%","0.93","758","1.55","N","N","N","","",
"紡織纖維","1451","年興","169208","200","846","518","63.32%","698","470","48.51%","1.22","758","1.55","N","N","N","","",
"紡織纖維","1452","宏益","141546","213","665","565","17.70%","574","483","18.84%","0.64","758","1.55","N","N","N","","",
"建材營造","1453","大將","6122","10","612","565","8.32%","596","596","0.00%","0.02","974","2.65","N","N","N","","",
"紡織纖維","1454","台富","213719","383","558","557","0.18%","503","507","-0.79%","0.10","758","1.55","N","N","N","","",
"紡織纖維","1455","集盛","771076","1225","629","603","4.31%","568","548","3.65%","0.01","758","1.55","N","N","N","","",
"建材營造","1456","怡華","13041","22","593","561","5.70%","588","556","5.76%","1.11","974","2.65","N","N","N","本公司113年度員工薪酬較之112年度平均成長5.7%，主要產業為不動產部，次要為紡織部，113年紡織部毛利率5%、平均薪資60.5萬元，113年不動產部毛利率44%，其平均薪資59.3萬元，員工薪酬主係以整體營運考量。","本公司將適時視市場薪資動態、整體經濟及產業景氣變動、政府法令規定之必要而有所調整員工薪酬，並依據其學經歷、專業知識及技術、專業年資經驗
及個人績效表現而定，依公司營運績效及員工個人績效表現發放獎金。",
"紡織纖維","1457","宜進","13526","16","845","821","2.92%","759","732","3.69%","0.91","758","1.55","N","N","N","","",
"紡織纖維","1459","聯發","50676","105","483","449","7.57%","404","394","2.54%","0.68","758","1.55","Y","N","N","因作業人員以外籍勞工為主，故整體薪資平均數低於同業水準。","重新配置人力結構，依據未來營運成果調整。",
"紡織纖維","1460","宏遠","743681","1357","548","522","4.98%","492","470","4.68%","-0.41","758","1.55","N","N","N","","",
"紡織纖維","1463","強盛新","83584","150","557","515","8.16%","521","465","12.04%","3.28","758","1.55","N","Y","N","本公司113年度獲利主要來自出售子公司土地收益4.54億元所挹注，本業仍屬虧損，故雖EPS較同業為優，但非經理人之薪資，仍不及同業水準。","除從業務面著手改善本業獲利外，114年度規劃大幅調整薪資待遇，期與市場相符。",
"紡織纖維","1464","得力","402651","694","580","554","4.69%","526","489","7.57%","1.04","758","1.55","N","N","N","","",
"紡織纖維","1465","偉全","80942","146","554","531","4.33%","491","477","2.94%","0.65","758","1.55","N","N","N","","",
"紡織纖維","1466","聚隆","177768","291","611","570","7.19%","606","550","10.18%","0.14","758","1.55","N","N","N","","",
"紡織纖維","1467","南緯","108822","155","702","660","6.36%","629","583","7.89%","0.46","758","1.55","N","N","N","","",
"紡織纖維","1468","昶和","23019","38","606","543","11.60%","542","522","3.83%","0.94","758","1.55","N","N","N","","",
"紡織纖維","1470","大統新創","142103","224","634","560","13.21%","547","473","15.64%","1.13","758","1.55","N","N","N","","",
"電子零組件業","1471","首利","18457","24","769","740","3.92%","818","768","6.51%","0.04","994","6.57","N","N","N","","",
"建材營造","1472","三洋實業","29735","36","826","803","2.86%","665","651","2.15%","3.31","974","2.65","N","Y","N","主係今年度持續取得公共工程最有利標，及在建工程工期較長所致。
本公司營運方面循序漸進穩定成長，員工薪資平均數較去年度略有提升，今後會持續提升員工薪資水準，與員工共享公司成就。","未來隨著完工工程數量增加，以完工工程績效連動獎金機制，依實際完成情形發放獎金，持續提升員工薪資水準。
公司亦有訂定制度化加薪辦法，每年依公司營運成果予員工加薪。",
"紡織纖維","1473","台南","207514","320","648","589","10.02%","558","493","13.18%","3.02","758","1.55","N","Y","N","1.本公司薪酬制度除保障年薪13個月外，營運獲利另發放員工績效獎金。
2.基層作業與縫製相關人員占比四成以上，且外勞占比超過5%以上，因基層直接作業人員占比高致平均薪資較低。","1. 本公司將繼續提升營運績效，提高員工薪酬。
2. 將積極規劃相關薪酬政策，且依個人績效、年資條件不同而有差異。",
"紡織纖維","1474","弘裕","243990","423","577","548","5.29%","539","503","7.16%","0.82","758","1.55","N","N","N","","",
"紡織纖維","1475","業旺","7622","10","762","580","31.38%","647","586","10.41%","7.22","758","1.55","N","N","N","","",
"紡織纖維","1476","儒鴻","1880681","1705","1103","953","15.74%","961","833","15.37%","24.20","758","1.55","N","N","N","","",
"紡織纖維","1477","聚陽","1294849","795","1629","1508","8.02%","1443","1381","4.49%","16.68","758","1.55","N","N","N","","",
"電機機械","1503","士電","2303679","2134","1080","1024","5.47%","892","842","5.94%","5.81","864","3.85","N","N","N","","",
"電機機械","1504","東元","2063474","2066","999","920","8.59%","793","748","6.02%","2.73","864","3.85","N","N","N","","",
"電機機械","1506","正道","140654","261","539","562","-4.09%","492","508","-3.15%","0.14","864","3.85","N","N","N","","",
"汽車工業","1512","瑞利","62982","111","567","585","-3.08%","472","503","-6.16%","-0.68","892","5.84","N","N","N","","",
"電機機械","1513","中興電","1717380","1824","942","907","3.86%","828","773","7.12%","7.33","864","3.85","N","N","N","","",
"電機機械","1514","亞力","643620","659","977","943","3.61%","846","809","4.57%","3.04","864","3.85","N","N","N","","",
"電機機械","1515","力山","347168","661","525","524","0.19%","431","434","-0.69%","1.76","864","3.85","N","N","N","","",
"其他","1516","川飛","1378","2","689","970","-28.97%","689","862","-20.07%","-6.13","969","3.42","N","N","N","","",
"電機機械","1517","利奇","254606","562","453","395","14.68%","409","345","18.55%","-0.42","864","3.85","Y","N","N","113年度因自行車產業市場需求回溫，訂單回升，產能規模效能提升，致113年度員工薪資較112年度提高。
惟經濟環境仍充滿不確定性與多重挑戰，獲利情形仍不如預期，待營運穩定增長，以增加公司獲利並提升員工福利。","配合自行車產業透過積極調整庫存和生產模式，加強財務風險管控，更要全力投入ESG和永續發展的工程，為提升市場競爭力做足準備。",
"電機機械","1519","華城","1720072","996","1727","1546","11.71%","1159","1113","4.13%","14.93","864","3.85","N","N","N","","",
"汽車工業","1521","大億","461563","766","603","642","-6.07%","541","585","-7.52%","1.15","892","5.84","N","N","Y","公司112年稅前利益78,755千元，其中認列投資損失176,667千元，113年稅前利益82,901千元，其中認列投資損失761千元，因此扣除業外之認列之投資損失，公司本身113年獲利並未較112年增加。","公司依循勞基法各項規定，且並無獲利增加但薪資平均數及薪資中位數較前一年減少之情形",
"汽車工業","1522","堤維西","1046080","1594","656","618","6.15%","585","562","4.09%","4.76","892","5.84","N","N","N","","",
"汽車工業","1524","耿鼎","278179","404","689","633","8.85%","594","545","8.99%","3.61","892","5.84","N","N","N","","",
"汽車工業","1525","江申","201782","304","664","644","3.11%","613","589","4.07%","4.12","892","5.84","N","N","N","","",
"電機機械","1526","日馳","86991","149","584","544","7.35%","460","401","14.71%","-0.91","864","3.85","N","N","N","","",
"電機機械","1527","鑽全","403120","625","645","576","11.98%","568","471","20.59%","3.21","864","3.85","N","N","N","","",
"電機機械","1528","恩德","135590","204","665","710","-6.34%","580","608","-4.61%","-0.81","864","3.85","N","N","N","","",
"電機機械","1529","樂事綠能","36989","70","528","484","9.09%","506","461","9.76%","-0.13","864","3.85","N","N","N","","",
"電機機械","1530","亞崴","221867","320","693","649","6.78%","638","608","4.93%","4.68","864","3.85","N","Y","N","113年度獲利係為業外挹注。本公司仍依績效考核結果做為薪資調整依據，並配合各項獎金辦法推行，致力提昇員工之薪酬。","1.建立合理的薪酬結構符合市場水準,才能吸引優秀人才，進而提升企業的競爭力。
2.提供員工培訓機會，提升其專業技能，在薪酬上給予相應的回報。",
"電機機械","1531","高林股","89541","113","792","748","5.88%","712","687","3.64%","0.47","864","3.85","N","N","N","","",
"電機機械","1532","勤美","243959","304","802","775","3.48%","645","610","5.74%","3.05","864","3.85","N","N","N","本公司致力全方位員工獎酬與福利規劃，提供優於法令之全薪家庭照顧假與生理假，並將托育補助擴及至子女滿12歲；一般員工獎酬多與工作績效表現連結，考量公司整體獲利與薪酬變化，與同業相比趨勢尚屬合理。","公司秉持與經營成果連動的原則，持續承諾優化員工整體獎酬政策；同時，配合政府法定基本薪資調整，同步檢視內部薪資結構，打造具競爭力非主管員工薪資與全方位照護員工的職場環境。",
"汽車工業","1533","車王電","232109","394","589","566","4.06%","514","482","6.64%","-1.11","892","5.84","N","N","N","","",
"電機機械","1535","中宇","1450050","1250","1160","1135","2.20%","1091","1039","5.00%","4.06","864","3.85","N","N","N","","",
"汽車工業","1536","和大","530321","895","593","607","-2.31%","576","582","-1.03%","0.70","892","5.84","N","N","N","","",
"電機機械","1537","廣隆","94678","110","861","784","9.82%","695","641","8.42%","11.75","864","3.85","N","Y","N","本公司考量年資與績效考核，分配年終獎金及依章程提撥之員工酬勞予員工，以激勵員工共同為公司目標努力。本公司113年度非擔任主管之員工薪資平均數較前一年度增加77千元，增幅9.82%，經營績效與員工薪資呈正相關。","在營運績效成長的同時，持續重視及增進基層員工的薪資福利。未來將持續推動福利政策增加員工福祉。",
"電機機械","1538","正峰","11942","17","702","594","18.18%","400","437","-8.47%","-1.70","864","3.85","N","N","N","","",
"電機機械","1539","巨庭","68247","137","498","461","8.03%","445","409","8.80%","1.41","864","3.85","Y","N","N","本公司是傳統產業木工機OEM其毛利偏低,
本公司113年初整體調薪平均5%。","積極研發降低成本提高毛利率,
提高員工酬勞比率,已修改公司章程
員工酬勞數額將高於50%分派於基層員工。",
"電機機械","1540","喬福","52502","84","625","600","4.17%","588","569","3.34%","2.12","864","3.85","N","N","N","","",
"電機機械","1541","錩泰","177493","355","500","485","3.09%","428","413","3.63%","1.06","864","3.85","N","N","N","","",
"電機機械","1558","伸興","173602","230","755","821","-8.04%","703","739","-4.87%","6.81","864","3.85","N","Y","Y","一、112年營運績效遞延發放
112年經營結果(EPS 3.81)於113年度變動獎金發放，整體較112年少54%。
二、新進人員不足年薪資影響
113年度新人較112年多92%，新人年薪資未足年致降低整體薪資平均數。","一、定期市場薪資調查，內外部薪資水準檢視與校準
二、營運績效成長，113年度EPS$6.81獲利表現優於往年，將於114年度員工變動薪資中同步正向呈現，預期114年度員工薪酬平均數將高於113年。",
