產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數調整變動情形(%),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"觀光餐旅","2734","易飛網","104063","177","588","580","1.38%","523","500","4.60%","-1.42","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"觀光餐旅","2736","富野","84541","185","457","445","2.70%","412","400","3.00%","-1.83","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","Y","N","N","主要係因服務業人力招募不易，以臨時員工補充人力缺口，故整體薪資結構偏低","目前集團採調整薪資水平、參與人才招募活動，並透過國際實習生計畫申請的方式補足人力需求",
"觀光餐旅","2740","華軒","34142","80","427","587","-27.26%","388","505","-23.17%","-3.19","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","Y","N","Y","本公司係屬餐飲業，就現況公司雖已較以往年度提高薪資水準進行招募與留才，但原產業性質人員本身流動率已較其他行業偏高，故公司員工整體較年輕、年資較淺等薪資結構因素，致平均薪資低於50萬元且較前一年度減少。","本公司目前尚屬虧損階段，待公司營運改善轉虧為盈後,再評估調整計畫。",
"觀光餐旅","2743","山富","211935","295","718","737","-2.58%","578","599","-3.51%","3.94","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"觀光餐旅","2745","五福","276485","451","613","694","-11.67%","566","575","-1.57%","10.01","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","Y","Y","本公司基層員工以業務人員為主，每月薪資約50%來自業績&#22892;金，因新進人員需培訓時間，此期間業績尚未成長，領取業績獎金較少，故拉低薪資平均數。","本公司設有規劃完善的人才晉升暨調薪管理辦法，適用全體正式員工與兼職人員，以建立公平、透明且具激勵性的人才晉升與調薪機制。",
"觀光餐旅","2751","王座","230688","387","596","563","5.86%","565","523","8.03%","4.57","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","Y","N","本公司因餐飲尖峰彈性調度，兼職及基層人力佔比高，且基層進用門檻具彈性，致整體薪資平均數受此人員結構影響。此與同業間之結構差異，為整體平均薪資略低於同業之主因。","本公司每年依基本工資調整薪資，並優於法定標準。正職員工實施年度調薪，依績效與市場趨勢調整，確保薪酬具競爭力。本公司亦持續深化員工教育訓練與職涯發展路徑，提升留任率與整體薪資水準。",
"觀光餐旅","2752","豆府","597484","908","658","619","6.30%","590","560","5.36%","15.04","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"觀光餐旅","2754","亞洲藏壽司","426284","582","732","676","8.28%","555","481","15.38%","2.35","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"觀光餐旅","2755","揚秦","277743","360","772","709","8.89%","648","607","6.75%","6.44","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"觀光餐旅","2756","聯發國際","107290","140","766","797","-3.89%","642","609","5.42%","3.93","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","Y","係因新品牌業務拓展，前線基層員工人數增加，致使薪資平均數下降。","全面提升前線基層員工起薪，並依公司營運成果及獲利情形，適時提供績效獎金或其他獎勵措施，使員工能共享公司經營成果。",
